simNo_4-s_7-m_15-h_1-minCP_0.10-ISAV_0-n_12-fp_0.001-fn_0.1-na_0-d_0-l_1000000	cell_0,cell_10,cell_11,cell_2,cell_3,cell_4,cell_5,cell_7,cell_8,cell_9	mut0	3.425550787874816703775453259E-43	4.190834956485258053967314599E-43	0.8173910028534588600965158405	
simNo_4-s_7-m_15-h_1-minCP_0.10-ISAV_0-n_12-fp_0.001-fn_0.1-na_0-d_0-l_1000000	cell_0,cell_10,cell_11,cell_2,cell_3,cell_4,cell_5,cell_7,cell_8,cell_9	mut1	2.668417765140512732659013828E-43	4.190834956485258053967314599E-43	0.6367269989984153000886142622	
simNo_4-s_7-m_15-h_1-minCP_0.10-ISAV_0-n_12-fp_0.001-fn_0.1-na_0-d_0-l_1000000	cell_0,cell_10,cell_11,cell_2,cell_3,cell_4,cell_5,cell_7,cell_8,cell_9	mut2	2.291512318825272117905888397E-43	4.190834956485258053967314599E-43	0.5467913536607279386504978546	
simNo_4-s_7-m_15-h_1-minCP_0.10-ISAV_0-n_12-fp_0.001-fn_0.1-na_0-d_0-l_1000000	cell_0,cell_10,cell_11,cell_2,cell_3,cell_4,cell_5,cell_7,cell_8,cell_9	mut3	1.535718936791074108637374790E-43	4.190834956485258053967314599E-43	0.3664470094234015800173717804	
simNo_4-s_7-m_15-h_1-minCP_0.10-ISAV_0-n_12-fp_0.001-fn_0.1-na_0-d_0-l_1000000	cell_0,cell_10,cell_11,cell_2,cell_3,cell_4,cell_5,cell_7,cell_8,cell_9	mut4	7.799728361122447567685074556E-44	4.190834956485258053967314599E-43	0.1861139472708768407294124799	
simNo_1-s_7-m_20-h_1-minCP_0.10-ISAV_0-n_12-fp_0.001-fn_0.1-na_0-d_0-l_1000000	cell_0,cell_10,cell_11,cell_2,cell_3,cell_4,cell_6,cell_7,cell_9	mut0	2.311348717426587420089225065E-137	2.439587673563952435428389719E-136	0.09474341678608242474571822583	
simNo_1-s_7-m_20-h_1-minCP_0.10-ISAV_0-n_12-fp_0.001-fn_0.1-na_0-d_0-l_1000000	cell_0,cell_10,cell_11,cell_2,cell_3,cell_4,cell_6,cell_7,cell_9	mut1	6.915561389140422205220953341E-137	2.439587673563952435165914897E-136	0.2834725500575101428685038203	
simNo_6-s_7-m_12-h_1-minCP_0.10-ISAV_0-n_12-fp_0.001-fn_0.1-na_0-d_0-l_1000000	cell_0,cell_10,cell_11,cell_2,cell_3,cell_4,cell_7,cell_8,cell_9	mut0	3.951312907283258916938695180E-68	1.838675332680937385404735266E-65	0.002148999791889264666228903911	
simNo_6-s_7-m_12-h_1-minCP_0.10-ISAV_0-n_12-fp_0.001-fn_0.1-na_0-d_0-l_1000000	cell_0,cell_10,cell_11,cell_2,cell_3,cell_4,cell_7,cell_8,cell_9	mut1	1.345584400976274334688710015E-66	1.838675332680937385404735266E-65	0.07318227296900227726304371720	
simNo_8-s_7-m_12-h_1-minCP_0.10-ISAV_0-n_15-fp_0.001-fn_0.1-na_0-d_0-l_1000000	cell_0,cell_10,cell_11,cell_2	mut6	1.799598541073182108924451161E-81	1.034571251939645528794864567E-79	0.01739463123201268389686607165	
simNo_6-s_7-m_20-h_1-minCP_0.10-ISAV_0-n_12-fp_0.001-fn_0.1-na_0-d_0-l_1000000	cell_0,cell_10,cell_11,cell_3,cell_4,cell_5,cell_6,cell_7,cell_8	mut4	1.075976157492149671061410942E-107	1.263642560915682824972018037E-105	0.008514877472253363840903358849	
simNo_6-s_7-m_20-h_1-minCP_0.10-ISAV_0-n_12-fp_0.001-fn_0.1-na_0-d_0-l_1000000	cell_0,cell_10,cell_11,cell_3,cell_4,cell_5,cell_6,cell_7,cell_8	mut5	1.144404683890381291771773563E-107	1.263642560915682824972018037E-105	0.009056395528978564219678300726	
simNo_6-s_7-m_20-h_1-minCP_0.10-ISAV_0-n_12-fp_0.001-fn_0.1-na_0-d_0-l_1000000	cell_0,cell_10,cell_11,cell_3,cell_4,cell_5,cell_6,cell_7,cell_8	mut6	1.089489194397245418323217071E-107	1.263642560915682824972018037E-105	0.008621814649925693060071577003	
simNo_6-s_7-m_20-h_1-minCP_0.10-ISAV_0-n_12-fp_0.001-fn_0.1-na_0-d_0-l_1000000	cell_0,cell_10,cell_11,cell_3,cell_4,cell_5,cell_6,cell_7,cell_8	mut7	1.254429087969792012771794896E-105	1.263642560915682824972018037E-105	0.9927087981753207300045673561	
simNo_8-s_7-m_12-h_1-minCP_0.10-ISAV_0-n_12-fp_0.001-fn_0.1-na_0-d_0-l_1000000	cell_0,cell_10,cell_11,cell_6,cell_7	mut3	7.606749753920289858779737792E-48	2.691936151871917874331271115E-47	0.2825754150458104348452483260	
simNo_6-s_7-m_12-h_1-minCP_0.10-ISAV_0-n_20-fp_0.001-fn_0.1-na_0-d_0-l_1000000	cell_0,cell_10,cell_12,cell_13,cell_16,cell_18,cell_2,cell_5,cell_6,cell_7	mut2	2.237438755444655746121695556E-61	4.854536633872656611484838548E-61	0.4608964612261586783709667081	
simNo_1-s_7-m_15-h_1-minCP_0.10-ISAV_0-n_20-fp_0.001-fn_0.1-na_0-d_0-l_1000000	cell_0,cell_10,cell_13,cell_14,cell_15,cell_17,cell_4,cell_9	mut11	1.868682427345744451065685125E-137	1.254252336656264428395303783E-136	0.1489877573062770677750337056	
simNo_1-s_7-m_8-h_1-minCP_0.10-ISAV_0-n_15-fp_0.001-fn_0.1-na_0-d_0-l_1000000	cell_0,cell_10,cell_13,cell_4	mut4	1.787388225668343613756233514E-49	2.548022974382452113277414510E-45	0.00007014804197758622504438326006	
simNo_8-s_7-m_12-h_1-minCP_0.10-ISAV_0-n_20-fp_0.001-fn_0.1-na_0-d_0-l_1000000	cell_0,cell_10,cell_14,cell_19,cell_6,cell_7	mut10	1.385733670989185597275820477E-139	1.594717285739666590415016520E-139	0.8689525619247617414296343159	
simNo_8-s_7-m_12-h_1-minCP_0.10-ISAV_0-n_20-fp_0.001-fn_0.1-na_0-d_0-l_1000000	cell_0,cell_10,cell_14,cell_19,cell_6,cell_7	mut11	5.417996060767224938470012068E-140	1.594717285739666590415016520E-139	0.3397464935770250733423421575	
simNo_8-s_7-m_12-h_1-minCP_0.10-ISAV_0-n_20-fp_0.001-fn_0.1-na_0-d_0-l_1000000	cell_0,cell_10,cell_14,cell_19,cell_6,cell_7	mut8	5.388700080392139041622418084E-140	1.594717285739666590415016520E-139	0.3379094293752974456956059902	
simNo_8-s_7-m_12-h_1-minCP_0.10-ISAV_0-n_20-fp_0.001-fn_0.1-na_0-d_0-l_1000000	cell_0,cell_10,cell_14,cell_19,cell_6,cell_7	mut9	1.384933884258243656807055501E-139	1.594717285739666590415016520E-139	0.8684510393426126547528628743	
simNo_7-s_7-m_12-h_1-minCP_0.10-ISAV_0-n_20-fp_0.001-fn_0.1-na_0-d_0-l_1000000	cell_0,cell_10,cell_16,cell_17,cell_2,cell_5,cell_8	mut3	1.657524444891362153081740406E-147	1.742920351225786280550599336E-147	0.9510041257626226826572429111	
simNo_7-s_7-m_12-h_1-minCP_0.10-ISAV_0-n_20-fp_0.001-fn_0.1-na_0-d_0-l_1000000	cell_0,cell_10,cell_16,cell_17,cell_2,cell_5,cell_8	mut4	1.657524963688270571377504729E-147	1.742920351225786280550599336E-147	0.9510044234221847237044754472	
simNo_7-s_7-m_12-h_1-minCP_0.10-ISAV_0-n_20-fp_0.001-fn_0.1-na_0-d_0-l_1000000	cell_0,cell_10,cell_16,cell_17,cell_2,cell_5,cell_8	mut5	1.446948391714789265857273462E-151	1.742920351225786280550599336E-147	0.00008301861818855683415477128937	
simNo_1-s_7-m_8-h_1-minCP_0.10-ISAV_0-n_20-fp_0.001-fn_0.1-na_0-d_0-l_1000000	cell_0,cell_10,cell_16,cell_19,cell_2	mut5	1.585343665151792502664390396E-65	3.959162867000867404467350457E-65	0.4004239578940881123227808129	
simNo_6-s_7-m_15-h_1-minCP_0.10-ISAV_0-n_20-fp_0.001-fn_0.1-na_0-d_0-l_1000000	cell_0,cell_10,cell_18	mut5	5.240384166781789189851065376E-178	5.240820784851957220562651396E-178	0.9999166889905050694640401864	
simNo_6-s_7-m_15-h_1-minCP_0.10-ISAV_0-n_20-fp_0.001-fn_0.1-na_0-d_0-l_1000000	cell_0,cell_10,cell_18	mut6	9.919991215354734072053452936E-179	5.240820784851957220562651396E-178	0.1892831604550842149012354735	
simNo_6-s_7-m_15-h_1-minCP_0.10-ISAV_0-n_20-fp_0.001-fn_0.1-na_0-d_0-l_1000000	cell_0,cell_10,cell_18	mut7	5.240381026563816750629772956E-178	5.240820784851957220562651396E-178	0.9999160898061212958971266616	
simNo_6-s_7-m_15-h_1-minCP_0.10-ISAV_0-n_20-fp_0.001-fn_0.1-na_0-d_0-l_1000000	cell_0,cell_10,cell_18	mut8	1.004069807731008748724959795E-178	5.240820784851957220562651396E-178	0.1915863657527017930290265067	
simNo_7-s_7-m_20-h_1-minCP_0.10-ISAV_0-n_12-fp_0.001-fn_0.1-na_0-d_0-l_1000000	cell_0,cell_10,cell_2,cell_3,cell_4,cell_5,cell_7,cell_8,cell_9	mut0	2.614497800642603647456549417E-142	4.277269145561503010250910094E-142	0.6112539827790946029182434902	
simNo_7-s_7-m_20-h_1-minCP_0.10-ISAV_0-n_12-fp_0.001-fn_0.1-na_0-d_0-l_1000000	cell_0,cell_10,cell_2,cell_3,cell_4,cell_5,cell_7,cell_8,cell_9	mut1	2.611324064998987920014462907E-142	4.277269145561503010250910094E-142	0.6105119823260931605799408204	
