simNo_6-s_7-m_20-h_1-minCP_0.10-ISAV_0-n_12-fp_0.001-fn_0.1-na_0-d_0-l_1000000	cell_0,cell_10,cell_11,cell_3,cell_4,cell_5,cell_6,cell_7,cell_8	mut5	2.055386096279953753953731611E-11	2.292011714848759081331431184E-11	0.8967607289980979309406799525	
simNo_6-s_7-m_20-h_1-minCP_0.10-ISAV_0-n_12-fp_0.001-fn_0.1-na_0-d_0-l_1000000	cell_0,cell_10,cell_11,cell_3,cell_4,cell_5,cell_6,cell_7,cell_8	mut6	2.047430728183333837338401895E-11	2.292011714848759081331431184E-11	0.8932898182496575110602167957	
simNo_6-s_7-m_20-h_1-minCP_0.10-ISAV_0-n_12-fp_0.001-fn_0.1-na_0-d_0-l_1000000	cell_0,cell_10,cell_11,cell_3,cell_4,cell_5,cell_6,cell_7,cell_8	mut7	2.056310335570223467250349614E-11	2.292011714848759081331431184E-11	0.8971639727006855070450388533	
simNo_8-s_7-m_12-h_1-minCP_0.10-ISAV_0-n_12-fp_0.001-fn_0.1-na_0-d_0-l_1000000	cell_0,cell_10,cell_11,cell_6,cell_7	mut3	0.00003314750380121561452456530108	0.00003354887871160529262076538839	0.9880361154886874441033028511	
simNo_6-s_7-m_12-h_1-minCP_0.10-ISAV_0-n_20-fp_0.001-fn_0.1-na_0-d_0-l_1000000	cell_0,cell_10,cell_12,cell_13,cell_16,cell_18,cell_2,cell_5,cell_6,cell_7	mut2	2.291625204170209741262673031E-9	8.970940081416611846434259344E-9	0.2554498395232104228283244396	
simNo_1-s_7-m_15-h_1-minCP_0.10-ISAV_0-n_20-fp_0.001-fn_0.1-na_0-d_0-l_1000000	cell_0,cell_10,cell_13,cell_14,cell_15,cell_17,cell_4,cell_9	mut11	1.006447869301415632110067331E-9	6.002305143291564326889447443E-9	0.1676768916732374517425371519	
simNo_1-s_7-m_8-h_1-minCP_0.10-ISAV_0-n_15-fp_0.001-fn_0.1-na_0-d_0-l_1000000	cell_0,cell_10,cell_13,cell_4	mut4	0.0004876911937284251771005299757	0.008726362112145197943182236693	0.05588711394977124725403922161	
simNo_8-s_7-m_12-h_1-minCP_0.10-ISAV_0-n_20-fp_0.001-fn_0.1-na_0-d_0-l_1000000	cell_0,cell_10,cell_14,cell_19,cell_6,cell_7	mut10	2.321821019103751307190754972E-16	2.626027365991281551085410959E-16	0.8841572061178054709673420944	
simNo_8-s_7-m_12-h_1-minCP_0.10-ISAV_0-n_20-fp_0.001-fn_0.1-na_0-d_0-l_1000000	cell_0,cell_10,cell_14,cell_19,cell_6,cell_7	mut11	2.303830966412809414609060495E-17	2.626027365991281551085410959E-16	0.08773065339108344108579245030	
simNo_8-s_7-m_12-h_1-minCP_0.10-ISAV_0-n_20-fp_0.001-fn_0.1-na_0-d_0-l_1000000	cell_0,cell_10,cell_14,cell_19,cell_6,cell_7	mut8	2.303708406604873639569817506E-17	2.626027365991281551085410959E-16	0.08772598627262447138061605659	
simNo_8-s_7-m_12-h_1-minCP_0.10-ISAV_0-n_20-fp_0.001-fn_0.1-na_0-d_0-l_1000000	cell_0,cell_10,cell_14,cell_19,cell_6,cell_7	mut9	2.321708343151289455741742457E-16	2.626027365991281551085410959E-16	0.8841142987384228048025418447	
simNo_7-s_7-m_12-h_1-minCP_0.10-ISAV_0-n_20-fp_0.001-fn_0.1-na_0-d_0-l_1000000	cell_0,cell_10,cell_16,cell_17,cell_2,cell_5,cell_8	mut3	1.180751387517778678335055479E-14	1.182302882711248385363428347E-14	0.9986877345761757515833327586	
simNo_7-s_7-m_12-h_1-minCP_0.10-ISAV_0-n_20-fp_0.001-fn_0.1-na_0-d_0-l_1000000	cell_0,cell_10,cell_16,cell_17,cell_2,cell_5,cell_8	mut4	1.180727860524038014972337013E-14	1.182302882711248385363428347E-14	0.9986678352812618193500684731	
simNo_7-s_7-m_12-h_1-minCP_0.10-ISAV_0-n_20-fp_0.001-fn_0.1-na_0-d_0-l_1000000	cell_0,cell_10,cell_16,cell_17,cell_2,cell_5,cell_8	mut5	1.185588785790490853754395029E-15	1.182302882711248385363428347E-14	0.1002779239674783892356052515	
simNo_1-s_7-m_8-h_1-minCP_0.10-ISAV_0-n_20-fp_0.001-fn_0.1-na_0-d_0-l_1000000	cell_0,cell_10,cell_16,cell_19,cell_2	mut5	0.000003304624106617164674567914076	0.000004746349354114372413792928519	0.6962454425636729905806215170	
simNo_6-s_7-m_15-h_1-minCP_0.10-ISAV_0-n_20-fp_0.001-fn_0.1-na_0-d_0-l_1000000	cell_0,cell_10,cell_18	mut5	3.520171165862499359559531528E-9	4.184001265659256174900361590E-9	0.8413408463221007681568639348	
simNo_6-s_7-m_15-h_1-minCP_0.10-ISAV_0-n_20-fp_0.001-fn_0.1-na_0-d_0-l_1000000	cell_0,cell_10,cell_18	mut6	3.137018695083802540196844384E-10	4.184001265659256420103967985E-9	0.07497652356922781654550826906	
simNo_6-s_7-m_15-h_1-minCP_0.10-ISAV_0-n_20-fp_0.001-fn_0.1-na_0-d_0-l_1000000	cell_0,cell_10,cell_18	mut7	3.519551845918811968541913562E-9	4.184001265659256420103967985E-9	0.8411928253478312937092192599	
simNo_6-s_7-m_15-h_1-minCP_0.10-ISAV_0-n_20-fp_0.001-fn_0.1-na_0-d_0-l_1000000	cell_0,cell_10,cell_18	mut8	3.135119183435431045872338750E-10	4.184001265659256420103967985E-9	0.07493112416497901797739152458	
simNo_7-s_7-m_20-h_1-minCP_0.10-ISAV_0-n_12-fp_0.001-fn_0.1-na_0-d_0-l_1000000	cell_0,cell_10,cell_2,cell_3,cell_4,cell_5,cell_7,cell_8,cell_9	mut0	7.966728442107189932242459466E-10	9.349763522020369710711657069E-10	0.8520780684285881501768341290	
simNo_7-s_7-m_20-h_1-minCP_0.10-ISAV_0-n_12-fp_0.001-fn_0.1-na_0-d_0-l_1000000	cell_0,cell_10,cell_2,cell_3,cell_4,cell_5,cell_7,cell_8,cell_9	mut1	7.921780865829054810281556332E-10	9.349763522020369710711657069E-10	0.8472707194328327474069190653	
simNo_7-s_7-m_20-h_1-minCP_0.10-ISAV_0-n_12-fp_0.001-fn_0.1-na_0-d_0-l_1000000	cell_0,cell_10,cell_2,cell_3,cell_4,cell_5,cell_7,cell_8,cell_9	mut2	7.967779999667355981478959725E-10	9.349763522020369710711657069E-10	0.8521905373223403229045317512	
simNo_7-s_7-m_20-h_1-minCP_0.10-ISAV_0-n_12-fp_0.001-fn_0.1-na_0-d_0-l_1000000	cell_0,cell_10,cell_2,cell_3,cell_4,cell_5,cell_7,cell_8,cell_9	mut3	7.967069582854133408210126800E-10	9.349763522020369710711657069E-10	0.8521145549927819961853075231	
simNo_7-s_7-m_20-h_1-minCP_0.10-ISAV_0-n_12-fp_0.001-fn_0.1-na_0-d_0-l_1000000	cell_0,cell_10,cell_2,cell_3,cell_4,cell_5,cell_7,cell_8,cell_9	mut4	7.966985176896126759698327502E-10	9.349763522020369710711657069E-10	0.8521055273892701151259774173	
simNo_7-s_7-m_8-h_1-minCP_0.10-ISAV_0-n_12-fp_0.001-fn_0.1-na_0-d_0-l_1000000	cell_0,cell_10,cell_3,cell_4,cell_7	mut2	0.001897145066992415442233238395	0.002190146209128716041227619312	0.8662184556834393661155633293	
simNo_8-s_7-m_10-h_1-minCP_0.10-ISAV_0-n_12-fp_0.001-fn_0.1-na_0-d_0-l_1000000	cell_0,cell_10,cell_3,cell_5,cell_6,cell_7	mut5	4.987913180904867400217760393E-7	0.000001069648086821161993944443974	0.4663134765872594061596968201	
simNo_1-s_7-m_15-h_1-minCP_0.10-ISAV_0-n_12-fp_0.001-fn_0.1-na_0-d_0-l_1000000	cell_0,cell_10,cell_3,cell_5,cell_9	mut1	0.0001597566278192818524910610375	0.001350540548241903711221722604	0.1182908784391913348113284520	
simNo_1-s_7-m_15-h_1-minCP_0.10-ISAV_0-n_12-fp_0.001-fn_0.1-na_0-d_0-l_1000000	cell_0,cell_10,cell_3,cell_5,cell_9	mut2	0.001139140749521293125040833424	0.001350540548241903711221722604	0.8434702319779994829302289578	
simNo_1-s_7-m_15-h_1-minCP_0.10-ISAV_0-n_12-fp_0.001-fn_0.1-na_0-d_0-l_1000000	cell_0,cell_10,cell_3,cell_5,cell_9	mut3	0.001229786103167107123135057924	0.001350540548241903711221722604	0.9105880639926054934420548933	
simNo_1-s_7-m_15-h_1-minCP_0.10-ISAV_0-n_12-fp_0.001-fn_0.1-na_0-d_0-l_1000000	cell_0,cell_10,cell_3,cell_5,cell_9	mut4	0.0001559696055158567348064399456	0.001350540548241903711221722604	0.1154867995032756687061561448	
simNo_7-s_7-m_15-h_1-minCP_0.10-ISAV_0-n_12-fp_0.001-fn_0.1-na_0-d_0-l_1000000	cell_0,cell_10,cell_3,cell_6	mut7	0.000006476316045969749776667330848	0.000007011259838957458095408012076	0.9237021868715605915761056676	
simNo_7-s_7-m_15-h_1-minCP_0.10-ISAV_0-n_12-fp_0.001-fn_0.1-na_0-d_0-l_1000000	cell_0,cell_10,cell_3,cell_6	mut8	0.000006476379183069443831760521914	0.000007011259838957458095408012076	0.9237111919720909184178860736	
simNo_1-s_7-m_12-h_1-minCP_0.10-ISAV_0-n_15-fp_0.001-fn_0.1-na_0-d_0-l_1000000	cell_0,cell_10,cell_3	mut6	0.05418648368449755184502647231	0.05772213021100014465918073067	0.9387471232683508567167337080	
simNo_4-s_7-m_20-h_1-minCP_0.10-ISAV_0-n_12-fp_0.001-fn_0.1-na_0-d_0-l_1000000	cell_0,cell_10,cell_4,cell_5,cell_8	mut10	3.785158430704661843937250925E-16	4.814395326907856108892659950E-16	0.7862167881289792798208592634	
simNo_4-s_7-m_20-h_1-minCP_0.10-ISAV_0-n_12-fp_0.001-fn_0.1-na_0-d_0-l_1000000	cell_0,cell_10,cell_4,cell_5,cell_8	mut11	4.151120337880918390445018552E-16	4.814395326907856108892659950E-16	0.8622308838412445765310273117	
simNo_4-s_7-m_20-h_1-minCP_0.10-ISAV_0-n_12-fp_0.001-fn_0.1-na_0-d_0-l_1000000	cell_0,cell_10,cell_4,cell_5,cell_8	mut12	4.222425373056863603130365369E-16	4.814395326907856108892659950E-16	0.8770416815290493979680984573	
simNo_4-s_7-m_20-h_1-minCP_0.10-ISAV_0-n_12-fp_0.001-fn_0.1-na_0-d_0-l_1000000	cell_0,cell_10,cell_4,cell_5,cell_8	mut9	4.151106319766834045054771310E-16	4.814395326907856108892659950E-16	0.8622279721331000464035441915	
simNo_7-s_7-m_12-h_1-minCP_0.10-ISAV_0-n_12-fp_0.001-fn_0.1-na_0-d_0-l_1000000	cell_0,cell_10,cell_4,cell_5,cell_9	mut7	0.00003695404106399062276065602896	0.00004669715313586030799608191090	0.7913553307302662282923499631	
simNo_7-s_7-m_12-h_1-minCP_0.10-ISAV_0-n_12-fp_0.001-fn_0.1-na_0-d_0-l_1000000	cell_0,cell_10,cell_4,cell_5,cell_9	mut8	0.00003697132820910498849038669355	0.00004669715313586030799608191090	0.7917255277113128170183576353	
